name,kind,description,date,deadline,venue,city,state,source_name,source_url,agency,attendance,categories,contact_name,contact_email,contact_role
Montgomery County Agricultural Fair,event,"9-day county fair at the Gaithersburg fairgrounds (mid-Aug); grandstand, livestock and carnival with a large temporary-structure footprint. Verified via mcagfair.com.",,,Montgomery County Fairgrounds,Gaithersburg,MD,Montgomery County Agricultural Center,https://mcagfair.com/,Montgomery County Agricultural Center,,"tent,structures,restrooms,staging",,,
Christmas at Gaylord National (ICE!) 2026,event,"Holiday season Nov 14 2026-Jan 2027 at Gaylord National Resort, National Harbor; large atrium builds, tickets and events. Verified via christmasatgaylordnational.com.",2026-11-14,,Gaylord National Resort & Convention Center,National Harbor,MD,Gaylord National Resort,https://www.christmasatgaylordnational.com/,Gaylord National Resort,,"staging,lighting,structures",,,
National Harbor Events,facility,"Waterfront event district on the Potomac (Prince George's Co) hosting festivals, markets and fireworks year-round; recurring event-rental demand. Verified via nationalharbor.com.",,,National Harbor,National Harbor,MD,National Harbor,https://www.nationalharbor.com/events/,,,"tent,staging,structures",,,
Reston Multicultural Festival 2026,event,"Free festival at Reston Town Center with three stages and thousands of attendees, Sept 19 2026. Verified via restoncommunitycenter.com.",2026-09-19,,Reston Town Center,Reston,VA,Reston Community Center,https://restoncommunitycenter.com/things-to-do/events/reston-multicultural-festival/,Reston Community Center,,"staging,tent,structures",,,
Celebrate Fairfax!,event,"Northern Virginia's largest community festival (June) at the Fairfax County Government Center; carnival and multiple stages. Verified via celebratefairfax.org.",,,Fairfax County Government Center,Fairfax,VA,Celebrate Fairfax Inc.,https://celebratefairfax.org/,Celebrate Fairfax Inc.,,"tent,staging,restrooms,structures",,,
City of Fairfax Fall Festival,event,"Annual October festival with 400+ vendors and three stages of entertainment in Old Town Fairfax. Verified via fairfaxva.gov.",,,Old Town Fairfax,Fairfax,VA,City of Fairfax,https://www.fairfaxva.gov/Events-directory/Parks-and-Recreation/Special-Events/Fall-Festival,City of Fairfax,,"tent,staging,structures",,,
Preakness Stakes 2027,event,"152nd Preakness at Pimlico May 23 2027; infield festival with large hospitality tents, stages and temporary structures; ~47,000 recent attendance. Verified via preakness.com.",2027-05-23,,Pimlico Race Course,Baltimore,MD,Maryland Jockey Club,https://www.preakness.com/,Maryland Jockey Club,47000,"tent,staging,restrooms,structures,flooring",,,
Artscape,event,"Nation's largest free outdoor arts festival (Memorial Day weekend) in Baltimore; ~100,000+ recent attendance, peak 350,000 (Baltimore City/Baltimore Sun). Verified via artscape.org.",,,Mount Royal / Bolton Hill,Baltimore,MD,Baltimore Office of Promotion & the Arts,https://www.artscape.org/,Baltimore Office of Promotion and the Arts,100000,"tent,staging,restrooms,structures",,,
AFRAM Baltimore,event,"One of the East Coast's largest African American cultural festivals, Juneteenth weekend at Druid Hill Park. Verified via aframbaltimore.com.",,,Druid Hill Park,Baltimore,MD,Baltimore City Mayor's Office,https://aframbaltimore.com/,Baltimore City,,"tent,staging,restrooms,structures",,,
Wine in the Woods,event,"Maryland's largest wine festival at Symphony Woods, Columbia (mid-May); large tent, tasting and stage footprint. Verified via wineinthewoods.com.",,,Symphony Woods,Columbia,MD,Howard County Recreation & Parks,https://www.wineinthewoods.com/,Howard County Recreation and Parks,,"tent,tables,staging,restrooms",,,
Merriweather Post Pavilion,facility,"Outdoor amphitheater (~19,000 capacity) in Columbia hosting concerts and festivals Apr-Oct; recurring large-event rental demand. Verified via merriweathermusic.com.",,,Merriweather Post Pavilion,Columbia,MD,Merriweather Post Pavilion,https://merriweathermusic.com/,,,"tent,staging,structures",,,
Wolf Trap Filene Center,facility,"National park for the performing arts in Vienna VA; ~90 outdoor performances late-May to Sept at the 7,000-seat Filene Center. Verified via wolftrap.org.",,,Filene Center at Wolf Trap,Vienna,VA,Wolf Trap Foundation,https://www.wolftrap.org/,Wolf Trap Foundation,,"staging,structures,tent",,,
Walter E. Washington Convention Center,facility,"700,000+ sq ft DC convention center (Events DC) hosting national conventions and galas year-round. Verified via eventsdc.com.",,,Walter E. Washington Convention Center,Washington,DC,Events DC,https://eventsdc.com/,Events DC,,"staging,lighting,furniture,linens",,,
Baltimore Convention Center,facility,"City-owned convention center at 1 W Pratt St hosting Otakon, Comic-Con and large conventions. Verified via bccenter.org.",,,Baltimore Convention Center,Baltimore,MD,City of Baltimore,https://www.bccenter.org/,City of Baltimore,,"staging,lighting,furniture,linens",,,
University of Maryland Spring Commencement 2027,event,"Main ceremony May 24 2027 at SECU Stadium, College Park; large outdoor stage and seating build. Verified via commencement.umd.edu.",2027-05-24,,SECU Stadium,College Park,MD,University of Maryland,https://commencement.umd.edu/,University of Maryland,,"staging,chairs,structures,tent",,,
George Washington University Commencement,event,"Only university to hold commencement on the National Mall (mid-May); large outdoor stage and seating footprint. Verified via commencement.gwu.edu.",,,National Mall,Washington,DC,George Washington University,https://commencement.gwu.edu/,George Washington University,,"staging,chairs,structures,tent",,,
Howard University Commencement,event,"Annual May commencement on The Yard, DC; outdoor stage and seating. Verified via commencement.howard.edu.",,,The Yard Howard University,Washington,DC,Howard University,https://commencement.howard.edu/,Howard University,,"staging,chairs,tent,structures",,,
Georgetown University Commencement,event,"Weekend of school-by-school ceremonies on Healy Lawn (mid-May), DC; tents and staging across campus. Verified via commencement.georgetown.edu.",,,Healy Lawn Georgetown University,Washington,DC,Georgetown University,https://commencement.georgetown.edu/,Georgetown University,,"tent,staging,chairs",,,
American University Commencement,event,"Spring commencement ceremonies (early May) at Bender Arena, DC. Verified via american.edu/commencement.",,,Bender Arena American University,Washington,DC,American University,https://www.american.edu/commencement/,American University,,"staging,chairs",,,
Johns Hopkins University Universitywide Commencement,event,"May commencement on Homewood Field, Baltimore; large outdoor stage and seating build. Verified via commencement.jhu.edu.",,,Homewood Field,Baltimore,MD,Johns Hopkins University,https://commencement.jhu.edu/,Johns Hopkins University,,"staging,chairs,structures,tent",,,
University of Maryland Baltimore Commencement,event,"School-by-school ceremonies (mid-May) in downtown Baltimore. Verified via umaryland.edu/graduation.",,,Downtown Baltimore,Baltimore,MD,University of Maryland Baltimore,https://www.umaryland.edu/graduation/,University of Maryland Baltimore,,"staging,chairs",,,
Morgan State University Spring Commencement,event,"May commencement at Hughes Memorial Stadium, Baltimore; outdoor stage and seating. Verified via morgan.edu/commencement.",,,Hughes Memorial Stadium,Baltimore,MD,Morgan State University,https://www.morgan.edu/commencement,Morgan State University,,"staging,chairs,structures",,,
Bowie State University Commencement,event,"Spring commencement (May) with record classes; outdoor stadium ceremony in Bowie. Verified via bowiestate.edu.",,,Bulldog Stadium,Bowie,MD,Bowie State University,https://www.bowiestate.edu/bulldog-connection/commencement/,Bowie State University,,"staging,chairs,structures,tent",,,
George Mason University Commencement,event,"University commencement (mid-May) at EagleBank Arena, Fairfax; degree celebrations across campus. Verified via gmu.edu/graduation.",,,EagleBank Arena,Fairfax,VA,George Mason University,https://www.gmu.edu/graduation,George Mason University,,"staging,chairs,structures",,,
Maryland eMMA event and rental services solicitations,procurement,"State of Maryland eProcurement portal (eMMA); monitor public solicitations for tents, staging, tables/chairs and event rental services statewide. Verified via emma.maryland.gov.",,,,,MD,Maryland eMMA,https://emma.maryland.gov/page.aspx/en/rfp/request_browse_public,State of Maryland,,"tent,tables,chairs,staging",,,buyer
Montgomery County Office of Procurement event and rental bids,procurement,"Montgomery County posts solicitations via BidNet; monitor for tent, table/chair, staging and event-services bids. Verified via montgomerycountymd.gov/pro.",,,,Rockville,MD,Montgomery County Office of Procurement,https://www.montgomerycountymd.gov/pro,Montgomery County Office of Procurement,,"tent,tables,chairs,staging",,,buyer
DC Office of Contracting and Procurement event services,procurement,"DC OCP transparency portal; monitor open solicitations for special-event tents, staging and rental services. Verified via contracts.ocp.dc.gov.",,,,Washington,DC,DC Office of Contracting and Procurement,https://contracts.ocp.dc.gov/solicitations/search,DC Office of Contracting and Procurement,,"tent,tables,chairs,staging",,,buyer
Prince George's County Procurement event and rental services,procurement,"Prince George's County procurement portal; monitor for event rental, tent and staging solicitations. Verified via princegeorgescountymd.gov.",,,,Largo,MD,Prince George's County Office of Central Services,https://www.princegeorgescountymd.gov/departments-offices/procurement,Prince George's County,,"tent,tables,chairs,staging",,,buyer
